round,client_i,client_j,cosine_similarity
1,0,1,0.40482757677976516
1,0,2,0.4887576798335371
1,0,3,0.21653461785971434
1,0,4,0.3139612069310824
1,0,5,1.0
1,0,6,1.0
1,1,2,0.28985310831321776
1,1,3,0.33821505303078353
1,1,4,0.7475851525865043
1,1,5,0.40482757677976516
1,1,6,0.40482757677976516
1,2,3,0.5079508368007271
1,2,4,0.33855197917345825
1,2,5,0.4887576798335371
1,2,6,0.4887576798335371
1,3,4,0.09094499012537083
1,3,5,0.21653461785971434
1,3,6,0.21653461785971434
1,4,5,0.3139612069310824
1,4,6,0.3139612069310824
1,5,6,1.0
2,0,1,0.4233418559730008
2,0,2,0.42883748495896773
2,0,3,0.14962499308459726
2,0,4,0.31187942670551916
2,0,5,1.0
2,0,6,1.0
2,1,2,0.4696898309146812
2,1,3,0.39460012233684477
2,1,4,0.7792492265299553
2,1,5,0.4233418559730008
2,1,6,0.4233418559730008
2,2,3,0.5037679476020755
2,2,4,0.38413614311959
2,2,5,0.42883748495896773
2,2,6,0.42883748495896773
2,3,4,0.042974842555536144
2,3,5,0.14962499308459726
2,3,6,0.14962499308459726
2,4,5,0.31187942670551916
2,4,6,0.31187942670551916
2,5,6,1.0
3,0,1,0.29255059302348535
3,0,2,0.27650078617580576
3,0,3,0.0168491923492896
3,0,4,0.2110371917524873
3,0,5,1.0
3,0,6,1.0
3,1,2,0.43709232407610665
3,1,3,0.3227289970396747
3,1,4,0.7414105991509143
3,1,5,0.29255059302348535
3,1,6,0.29255059302348535
3,2,3,0.4739084227773188
3,2,4,0.3107445702204892
3,2,5,0.27650078617580576
3,2,6,0.27650078617580576
3,3,4,-0.07902155390476945
3,3,5,0.0168491923492896
3,3,6,0.0168491923492896
3,4,5,0.2110371917524873
3,4,6,0.2110371917524873
3,5,6,1.0
4,0,1,0.17337811352740795
4,0,2,0.16093026568729213
4,0,3,-0.07019123795286436
4,0,4,0.11247862420133511
4,0,5,1.0
4,0,6,1.0
4,1,2,0.3411346545449911
4,1,3,0.2592492633525444
4,1,4,0.6795922604965368
4,1,5,0.17337811352740795
4,1,6,0.17337811352740795
4,2,3,0.43870852839056773
4,2,4,0.1898942354738466
4,2,5,0.16093026568729213
4,2,6,0.16093026568729213
4,3,4,-0.1796331694880876
4,3,5,-0.07019123795286436
4,3,6,-0.07019123795286436
4,4,5,0.11247862420133511
4,4,6,0.11247862420133511
4,5,6,1.0
5,0,1,0.11390594645502486
5,0,2,0.0934532074011148
5,0,3,-0.13193351166693762
5,0,4,0.06452583854643597
5,0,5,1.0
5,0,6,1.0
5,1,2,0.2556352743312026
5,1,3,0.1908832803428157
5,1,4,0.6315575382145326
5,1,5,0.11390594645502486
5,1,6,0.11390594645502486
5,2,3,0.3791349130024865
5,2,4,0.09124879349522808
5,2,5,0.0934532074011148
5,2,6,0.0934532074011148
5,3,4,-0.26874079101258286
5,3,5,-0.13193351166693762
5,3,6,-0.13193351166693762
5,4,5,0.06452583854643597
5,4,6,0.06452583854643597
5,5,6,1.0
6,0,1,0.07314097092445886
6,0,2,0.046159068125820615
6,0,3,-0.16519794809746202
6,0,4,0.03613315522142411
6,0,5,1.0
6,0,6,1.0
6,1,2,0.2080896418932301
6,1,3,0.15098569373453333
6,1,4,0.5606782805121194
6,1,5,0.07314097092445886
6,1,6,0.07314097092445886
6,2,3,0.35623717644334785
6,2,4,-0.012174627775086775
6,2,5,0.046159068125820615
6,2,6,0.046159068125820615
6,3,4,-0.36367546649588145
6,3,5,-0.16519794809746202
6,3,6,-0.16519794809746202
6,4,5,0.03613315522142411
6,4,6,0.03613315522142411
6,5,6,1.0
7,0,1,0.04131858139150609
7,0,2,0.01019797007801079
7,0,3,-0.1925983321662076
7,0,4,-0.00022803190037871263
7,0,5,1.0
7,0,6,1.0
7,1,2,0.10285052601224934
7,1,3,0.09118021785184346
7,1,4,0.561462921517873
7,1,5,0.04131858139150609
7,1,6,0.04131858139150609
7,2,3,0.3309719196605516
7,2,4,-0.06356214237169133
7,2,5,0.01019797007801079
7,2,6,0.01019797007801079
7,3,4,-0.3858761608297615
7,3,5,-0.1925983321662076
7,3,6,-0.1925983321662076
7,4,5,-0.00022803190037871263
7,4,6,-0.00022803190037871263
7,5,6,1.0
8,0,1,0.021748470912329794
8,0,2,-0.013995995991681956
8,0,3,-0.22585957715464156
8,0,4,-0.011746260226656449
8,0,5,1.0
8,0,6,1.0
8,1,2,0.07435229609207554
8,1,3,0.06889779556436781
8,1,4,0.5221982608229906
8,1,5,0.021748470912329794
8,1,6,0.021748470912329794
8,2,3,0.289095394915689
8,2,4,-0.12582230261185898
8,2,5,-0.013995995991681956
8,2,6,-0.013995995991681956
8,3,4,-0.4338759685828725
8,3,5,-0.22585957715464156
8,3,6,-0.22585957715464156
8,4,5,-0.011746260226656449
8,4,6,-0.011746260226656449
8,5,6,1.0
9,0,1,0.025794042929091553
9,0,2,-0.03246114853228311
9,0,3,-0.22758957054695472
9,0,4,-0.02761179204995079
9,0,5,1.0
9,0,6,1.0
9,1,2,0.024587413564671534
9,1,3,0.031189022915657703
9,1,4,0.45880323260875866
9,1,5,0.025794042929091553
9,1,6,0.025794042929091553
9,2,3,0.3047646410049768
9,2,4,-0.1721327007222253
9,2,5,-0.03246114853228311
9,2,6,-0.03246114853228311
9,3,4,-0.4639691306337186
9,3,5,-0.22758957054695472
9,3,6,-0.22758957054695472
9,4,5,-0.02761179204995079
9,4,6,-0.02761179204995079
9,5,6,1.0
10,0,1,-0.030149303918288215
10,0,2,-0.048473616894256735
10,0,3,-0.2738006647295631
10,0,4,-0.013672226414120888
10,0,5,1.0
10,0,6,1.0
10,1,2,-0.008725939992808976
10,1,3,0.03480112900173339
10,1,4,0.4639937631354844
10,1,5,-0.030149303918288215
10,1,6,-0.030149303918288215
10,2,3,0.24637596975461856
10,2,4,-0.16516142848311155
10,2,5,-0.048473616894256735
10,2,6,-0.048473616894256735
10,3,4,-0.503583279145934
10,3,5,-0.2738006647295631
10,3,6,-0.2738006647295631
10,4,5,-0.013672226414120888
10,4,6,-0.013672226414120888
10,5,6,1.0
