path,original_path,status,reason,sha256,rounds,final_accuracy,final_loss
results/archive/legacy/Dirichlet_Non_IID/poisoning_scale_10/alpha_0.01.csv,results/Dirichlet_Non_IID/poisoning_scale_10/alpha_0.01.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,5347c05d8e31e729d156695865011a871f0fc710630de13759f782d661e47848,10,0.6511,1.0628814697265625
results/archive/legacy/Dirichlet_Non_IID/poisoning_scale_10/alpha_0.1.csv,results/Dirichlet_Non_IID/poisoning_scale_10/alpha_0.1.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,a9358d99d4d7034b4e4a0674e3126a03110b126de8183c597a99a750e661caad,10,0.8757,0.45616811513900757
results/archive/legacy/Dirichlet_Non_IID/poisoning_scale_10/alpha_1.csv,results/Dirichlet_Non_IID/poisoning_scale_10/alpha_1.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,5fde477b548955236f09490b57aafabc7dd9d748f9e4d1bdd6943eb1f4425a2f,10,0.9073,0.327149361371994
results/archive/legacy/Dirichlet_Non_IID/poisoning_scale_10/alpha_10.csv,results/Dirichlet_Non_IID/poisoning_scale_10/alpha_10.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,38016c05701c7bd16da8e7b458f8fabdee901c75e564e67366275ad99b350895,10,0.9099,0.3235976994037628
results/archive/legacy/Dirichlet_Non_IID/poisoning_scale_10/alpha_100.csv,results/Dirichlet_Non_IID/poisoning_scale_10/alpha_100.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,6c5838848e69d79c5b250b5cb3f1e8ef7d7b363d1251bc4bafa60e63239029d4,10,0.9089,0.3217819333076477
results/archive/legacy/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_10/first-test/alpha_0.01.csv,results/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_10/first-test/alpha_0.01.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,36d6ba963ff52f5e3b79f797f17271a6b1b40165aa33e71764eabd947a3dc0e0,10,0.6594,1.0368571281433105
results/archive/legacy/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_10/first-test/alpha_0.1.csv,results/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_10/first-test/alpha_0.1.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,eab4ec8a4d60d6c14979aded251bc71aedc242123c823469b5bb0766b88b20e7,10,0.8722,0.4620403051376343
results/archive/legacy/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_10/first-test/alpha_1.csv,results/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_10/first-test/alpha_1.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,2412160254f391a77d59ef3fe18a87afe188764fc989c20d3efe73f3c41dcf93,10,0.9085,0.3276974558830261
results/archive/legacy/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_10/first-test/alpha_10.csv,results/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_10/first-test/alpha_10.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,a2f0010fc6c1c6c1971a3bffd0c0405cb00793de124fa0241ed465839a6025e8,10,0.9099,0.32561221718788147
results/archive/legacy/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_10/first-test/alpha_100.csv,results/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_10/first-test/alpha_100.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,1fd8b80369e95e132bd99f6794e17fcd0e3e5f7c2e0fb9e00b7ac180f90b0c12,10,0.9099,0.32069554924964905
results/archive/legacy/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_10/first-test/baseline_iid.csv,results/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_10/first-test/baseline_iid.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,6b1897ae0d40188864f427dc57f9f9ae75e8dd063247ebda1adf0da746cbc5a8,10,0.9087,0.3215179741382599
results/archive/legacy/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_10/first-test/results.csv,results/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_10/first-test/results.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,0dbfce5ea97a01bca11d7047e06dd78f43fbf5ce01e28a5fb7a93ab4cd65fe93,10,0.9076,0.3230064809322357
results/archive/legacy/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_100/alpha_poisoning_0.01.csv,results/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_100/alpha_poisoning_0.01.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,bba688315cfd7c2f979fc9f7aac7d5e3900b608666a623ddfb423874f64b5a18,10,0.6447,1.0432963371276855
results/archive/legacy/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_100/alpha_poisoning_0.1.csv,results/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_100/alpha_poisoning_0.1.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,510fe6b81698dc406bcf3d12ed1ebb7c108e58bdbc43174d8d6f2c8c6bbc26c2,10,0.8732,0.4594153165817261
results/archive/legacy/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_100/alpha_poisoning_1.csv,results/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_100/alpha_poisoning_1.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,f29b3d11b5d262a178f98b8004f323ec1e01a3fb4ee12f153d8320c531ae81fa,10,0.9058,0.3322380483150482
results/archive/legacy/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_100/alpha_poisoning_10.csv,results/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_100/alpha_poisoning_10.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,3d94763f483ef69ddf5786c047bcb52615f5a9a7192d4765b56974d94a90141f,10,0.9089,0.32216811180114746
results/archive/legacy/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_100/alpha_poisoning_100.csv,results/Dirichlet_Non_IID_with_Poisoning/poisoning_scale_100/alpha_poisoning_100.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,3444db4972e828fca383006ca922dfb46c181ef0adad78eea4cb131d0d7b7957,10,0.9094,0.32227250933647156
results/archive/legacy/IID_vs_Non_IID/IID.csv,results/IID_vs_Non_IID/IID.csv,unverified_legacy,Per-run configuration and seeds unavailable; do not pool with new matched repeats.,f9aedd030be13aff7cc9d28c4ec33c32a57c524fe4cc544905f0a4de14c19258,10,0.9098,0.32078003883361816
results/archive/legacy/IID_vs_Non_IID/NON_IID.csv,results/IID_vs_Non_IID/NON_IID.csv,unverified_legacy,Per-run configuration and seeds unavailable; do not pool with new matched repeats.,72eb3bb1146fb783cf8d42b9c66b85bc729a32f7a73238007617015307f52ba8,10,0.7715999999999998,0.9228575825691223
results/archive/legacy/Poisoning_Clients_test/1_poisoning_clients.csv,results/Poisoning_Clients_test/1_poisoning_clients.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,cfc0de323ae22a447e9277d2f9b5df809f46436656804a2c7d476139b9f9cb86,10,0.7693,0.9166180491447449
results/archive/legacy/Poisoning_Clients_test/2_poisoning_clients.csv,results/Poisoning_Clients_test/2_poisoning_clients.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,54448c6f36c5aafd4ddd887c1c7c31f1e0f7a7d0d12814a872e2836b76fb8d37,10,0.7589,0.9266813397407532
results/archive/legacy/Poisoning_Clients_test/3_poisoning_clients.csv,results/Poisoning_Clients_test/3_poisoning_clients.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,8aa00851f2160417ec4bcdaf1d2c1eb83a6d0854a32fcd4a7566f6983fc99ac1,10,0.7566000000000002,0.9346529245376587
results/archive/legacy/Poisoning_Clients_test/4_poisoning_clients.csv,results/Poisoning_Clients_test/4_poisoning_clients.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,b3f2b261eb2ef9590d5abe0898b4948056bf0f30986f5d2b670204c26acc355c,10,0.7658,0.9031710624694824
results/archive/legacy/Poisoning_Clients_test/5_poisoning_clients.csv,results/Poisoning_Clients_test/5_poisoning_clients.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,e67f9b0389c574b9ac2ee2a97f26d5e026e37a69eb0f8d5e886e9b7f7ff20bad,10,0.7526000000000002,0.9417860507965088
results/archive/legacy/Poisoning_Scale_test/10_poisoning.csv,results/Poisoning_Scale_test/10_poisoning.csv,exclude_from_attack_analysis,Legacy attack-labeled collection; archived attack scripts have shared-memory snapshot bug. Exact per-run source/config unavailable.,5d5ecd1b943fb33d584292b494c490edf93c8eb1ce3718494e3243bce9cd71d1,10,0.7652,0.9208427667617798
